ID_Petani,Desa,Kelompok_Tani,Komoditas,Urea_MT1,NPK_MT1,Organik_MT1,Urea_MT2,NPK_MT2,Organik_MT2,Urea_MT3,NPK_MT3,Organik_MT3,Luas_Tanah_m2
P126,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,PADI,50,60,0,50,60,0,0,0,0,4000
P127,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,PADI,100,120,0,100,120,0,0,0,0,8000
P128,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,PADI,40,48,0,40,48,0,0,0,0,3200
P129,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,PADI,40,48,0,40,48,0,0,0,0,3200
P130,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,PADI,30,36,0,30,36,0,0,0,0,2400
P131,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,PADI,40,48,0,40,48,0,0,0,0,3200
P132,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0,0,0,0,0,0,50,70,0,2000
P133,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0,0,0,0,0,0,60,84,0,2400
P134,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0,0,0,0,0,0,25,35,0,1000
P135,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0,0,0,0,0,0,25,35,0,1000
P136,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0,0,0,0,0,0,25,35,0,1000
P137,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0,0,0,0,0,0,120,168,0,4800
P138,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0,0,0,0,0,0,15,21,0,600
P139,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0,0,0,0,0,0,50,70,0,2000
P140,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0,0,0,0,0,0,95,133,0,3800
P141,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0,0,0,0,0,0,25,35,0,1000
P142,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0,0,0,0,0,0,50,70,0,2000
P143,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0,0,0,0,0,0,40,56,0,1600
P144,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0,0,0,0,0,0,25,35,0,1000
P145,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0,0,0,0,0,0,25,35,0,1000
P146,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0,0,0,0,0,0,50,70,0,2000
P147,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0,0,0,0,0,0,100,140,0,4000
P148,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0,0,0,0,0,0,70,98,0,2800
P149,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0,0,0,0,0,0,35,49,0,1400
P150,SIBARANI NASAMPULU/NAMUNGKUP,SAOLOAN,JAGUNG,0,0,0,0,0,0,250,350,0,10000
