ID_Petani,Desa,Kelompok_Tani,Komoditas,Urea_MT1,NPK_MT1,Organik_MT1,Urea_MT2,NPK_MT2,Organik_MT2,Urea_MT3,NPK_MT3,Organik_MT3,Luas_Tanah_m2,Total_Urea,Total_NPK,Total_Organik,Total_Pupuk,Luas_Tanah_ha,Status_Urea,Status_NPK,Status_Organik,Jatah_Urea_Min,Jatah_Urea_Max,Jatah_NPK_Min,Jatah_NPK_Max,Jatah_Organik_Min,Jatah_Organik_Max,Final_Status,Urea_per_ha,NPK_per_ha,Organik_per_ha,Total_per_ha,Total_MT1,Total_MT2,Total_MT3,Urea_Label,Urea_Median,Urea_Lower_Bound,Urea_Upper_Bound,NPK_Label,NPK_Median,NPK_Lower_Bound,NPK_Upper_Bound,Organik_Label,Organik_Median,Organik_Lower_Bound,Organik_Upper_Bound,Overall_Status
P427,SIBUEA,DOS ROHA,JAGUNG,0,0,0,40,56,0,0,0,0,1600,40,56,0,96,0.16,Normal,Normal,Normal,0.0,40.0,0.0,56.0,0.0,160.0,Normal,250.0,350.0,0.0,600.0,0,96,0,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal
P428,SIBUEA,DOS ROHA,JAGUNG,0,0,0,40,56,0,0,0,0,1600,40,56,0,96,0.16,Normal,Normal,Normal,0.0,40.0,0.0,56.0,0.0,160.0,Normal,250.0,350.0,0.0,600.0,0,96,0,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal
P429,SIBUEA,DOS ROHA,JAGUNG,0,0,0,40,56,0,0,0,0,1600,40,56,0,96,0.16,Normal,Normal,Normal,0.0,40.0,0.0,56.0,0.0,160.0,Normal,250.0,350.0,0.0,600.0,0,96,0,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal
P430,SIBUEA,DOS ROHA,JAGUNG,0,0,0,40,56,0,0,0,0,1600,40,56,0,96,0.16,Normal,Normal,Normal,0.0,40.0,0.0,56.0,0.0,160.0,Normal,250.0,350.0,0.0,600.0,0,96,0,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal
P431,SIBUEA,DOS ROHA,JAGUNG,0,0,0,40,56,0,0,0,0,1600,40,56,0,96,0.16,Normal,Normal,Normal,0.0,40.0,0.0,56.0,0.0,160.0,Normal,250.0,350.0,0.0,600.0,0,96,0,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal
P432,SIBUEA,DOS ROHA,JAGUNG,0,0,0,40,56,0,0,0,0,1600,40,56,0,96,0.16,Normal,Normal,Normal,0.0,40.0,0.0,56.0,0.0,160.0,Normal,250.0,350.0,0.0,600.0,0,96,0,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal
P433,SIBUEA,DOS ROHA,JAGUNG,0,0,0,40,56,0,0,0,0,1600,40,56,0,96,0.16,Normal,Normal,Normal,0.0,40.0,0.0,56.0,0.0,160.0,Normal,250.0,350.0,0.0,600.0,0,96,0,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal
P434,SIBUEA,DOS ROHA,JAGUNG,0,0,0,40,56,0,0,0,0,1600,40,56,0,96,0.16,Normal,Normal,Normal,0.0,40.0,0.0,56.0,0.0,160.0,Normal,250.0,350.0,0.0,600.0,0,96,0,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal
P435,SIBUEA,DOS ROHA,JAGUNG,0,0,0,40,56,0,0,0,0,1600,40,56,0,96,0.16,Normal,Normal,Normal,0.0,40.0,0.0,56.0,0.0,160.0,Normal,250.0,350.0,0.0,600.0,0,96,0,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal
P436,SIBUEA,DOS ROHA,JAGUNG,0,0,0,40,56,0,0,0,0,1600,40,56,0,96,0.16,Normal,Normal,Normal,0.0,40.0,0.0,56.0,0.0,160.0,Normal,250.0,350.0,0.0,600.0,0,96,0,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal
P437,SIBUEA,DOS ROHA,JAGUNG,0,0,0,40,56,0,0,0,0,1600,40,56,0,96,0.16,Normal,Normal,Normal,0.0,40.0,0.0,56.0,0.0,160.0,Normal,250.0,350.0,0.0,600.0,0,96,0,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal
P438,SIBUEA,DOS ROHA,JAGUNG,0,0,0,40,56,0,0,0,0,1600,40,56,0,96,0.16,Normal,Normal,Normal,0.0,40.0,0.0,56.0,0.0,160.0,Normal,250.0,350.0,0.0,600.0,0,96,0,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal
P439,SIBUEA,DOS ROHA,JAGUNG,0,0,0,40,56,0,0,0,0,1600,40,56,0,96,0.16,Normal,Normal,Normal,0.0,40.0,0.0,56.0,0.0,160.0,Normal,250.0,350.0,0.0,600.0,0,96,0,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal
P440,SIBUEA,DOS ROHA,JAGUNG,0,0,0,40,56,0,0,0,0,1600,40,56,0,96,0.16,Normal,Normal,Normal,0.0,40.0,0.0,56.0,0.0,160.0,Normal,250.0,350.0,0.0,600.0,0,96,0,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal
P441,SIBUEA,DOS ROHA,JAGUNG,0,0,0,40,56,0,0,0,0,1600,40,56,0,96,0.16,Normal,Normal,Normal,0.0,40.0,0.0,56.0,0.0,160.0,Normal,250.0,350.0,0.0,600.0,0,96,0,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal
P442,SIBUEA,DOS ROHA,JAGUNG,0,0,0,40,56,0,0,0,0,1600,40,56,0,96,0.16,Normal,Normal,Normal,0.0,40.0,0.0,56.0,0.0,160.0,Normal,250.0,350.0,0.0,600.0,0,96,0,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal
P443,SIBUEA,DOS ROHA,JAGUNG,0,0,0,40,56,0,0,0,0,1600,40,56,0,96,0.16,Normal,Normal,Normal,0.0,40.0,0.0,56.0,0.0,160.0,Normal,250.0,350.0,0.0,600.0,0,96,0,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal
P444,SIBUEA,DOS ROHA,JAGUNG,0,0,0,40,56,0,0,0,0,1600,40,56,0,96,0.16,Normal,Normal,Normal,0.0,40.0,0.0,56.0,0.0,160.0,Normal,250.0,350.0,0.0,600.0,0,96,0,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal
P445,SIBUEA,DOS ROHA,JAGUNG,0,0,0,40,56,0,0,0,0,1600,40,56,0,96,0.16,Normal,Normal,Normal,0.0,40.0,0.0,56.0,0.0,160.0,Normal,250.0,350.0,0.0,600.0,0,96,0,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal
P446,SIBUEA,DOS ROHA,JAGUNG,0,0,0,40,56,0,0,0,0,1600,40,56,0,96,0.16,Normal,Normal,Normal,0.0,40.0,0.0,56.0,0.0,160.0,Normal,250.0,350.0,0.0,600.0,0,96,0,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal
P447,SIBUEA,DOS ROHA,JAGUNG,0,0,0,40,56,0,0,0,0,1600,40,56,0,96,0.16,Normal,Normal,Normal,0.0,40.0,0.0,56.0,0.0,160.0,Normal,250.0,350.0,0.0,600.0,0,96,0,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal
P448,SIBUEA,DOS ROHA,JAGUNG,0,0,0,40,56,0,0,0,0,1600,40,56,0,96,0.16,Normal,Normal,Normal,0.0,40.0,0.0,56.0,0.0,160.0,Normal,250.0,350.0,0.0,600.0,0,96,0,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal
P449,SIBUEA,DOS ROHA,JAGUNG,0,0,0,40,56,0,0,0,0,1600,40,56,0,96,0.16,Normal,Normal,Normal,0.0,40.0,0.0,56.0,0.0,160.0,Normal,250.0,350.0,0.0,600.0,0,96,0,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal
P450,SIBUEA,DOS ROHA,JAGUNG,0,0,0,40,56,0,0,0,0,1600,40,56,0,96,0.16,Normal,Normal,Normal,0.0,40.0,0.0,56.0,0.0,160.0,Normal,250.0,350.0,0.0,600.0,0,96,0,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal
P451,SIBUEA,DOS ROHA,JAGUNG,0,0,0,40,56,0,0,0,0,1600,40,56,0,96,0.16,Normal,Normal,Normal,0.0,40.0,0.0,56.0,0.0,160.0,Normal,250.0,350.0,0.0,600.0,0,96,0,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal
