ID_Petani,Desa,Kelompok_Tani,Komoditas,Urea_MT1,NPK_MT1,Organik_MT1,Urea_MT2,NPK_MT2,Organik_MT2,Urea_MT3,NPK_MT3,Organik_MT3,Luas_Tanah_m2,Total_Urea,Total_NPK,Total_Organik,Total_Pupuk,Luas_Tanah_ha,Status_Urea,Status_NPK,Status_Organik,Jatah_Urea_Min,Jatah_Urea_Max,Jatah_NPK_Min,Jatah_NPK_Max,Jatah_Organik_Min,Jatah_Organik_Max,Final_Status
P1864,PATANE II,SAURDOT,PADI,250,300,1000,0,0,0,0,0,0,10000,250,300,1000,1550,1.0,Normal,Normal,Normal,0.0,250.0,0.0,300.0,0.0,1000.0,Normal
P1865,PATANE II,SAURDOT,PADI,250,300,1000,0,0,0,0,0,0,10000,250,300,1000,1550,1.0,Normal,Normal,Normal,0.0,250.0,0.0,300.0,0.0,1000.0,Normal
P1866,PATANE II,SAURDOT,PADI,250,300,1000,0,0,0,0,0,0,10000,250,300,1000,1550,1.0,Normal,Normal,Normal,0.0,250.0,0.0,300.0,0.0,1000.0,Normal
P1867,PATANE II,SAURDOT,PADI,250,300,1000,0,0,0,0,0,0,10000,250,300,1000,1550,1.0,Normal,Normal,Normal,0.0,250.0,0.0,300.0,0.0,1000.0,Normal
P1868,PATANE II,SAURDOT,PADI,250,300,1000,0,0,0,0,0,0,10000,250,300,1000,1550,1.0,Normal,Normal,Normal,0.0,250.0,0.0,300.0,0.0,1000.0,Normal
P1869,PATANE II,SAURDOT,PADI,250,300,1000,0,0,0,0,0,0,10000,250,300,1000,1550,1.0,Normal,Normal,Normal,0.0,250.0,0.0,300.0,0.0,1000.0,Normal
P1870,PATANE II,SAURDOT,PADI,250,300,1000,0,0,0,0,0,0,10000,250,300,1000,1550,1.0,Normal,Normal,Normal,0.0,250.0,0.0,300.0,0.0,1000.0,Normal
P1871,PATANE II,SAURDOT,PADI,250,300,1000,0,0,0,0,0,0,10000,250,300,1000,1550,1.0,Normal,Normal,Normal,0.0,250.0,0.0,300.0,0.0,1000.0,Normal
P1872,PATANE II,SAURDOT,PADI,125,150,500,0,0,0,0,0,0,5000,125,150,500,775,0.5,Normal,Normal,Normal,0.0,125.0,0.0,150.0,0.0,500.0,Normal
P1873,PATANE II,SAURDOT,PADI,250,300,1000,0,0,0,0,0,0,10000,250,300,1000,1550,1.0,Normal,Normal,Normal,0.0,250.0,0.0,300.0,0.0,1000.0,Normal
P1874,PATANE II,SAURDOT,PADI,250,300,1000,0,0,0,0,0,0,10000,250,300,1000,1550,1.0,Normal,Normal,Normal,0.0,250.0,0.0,300.0,0.0,1000.0,Normal
P1875,PATANE II,SAURDOT,PADI,250,300,1000,0,0,0,0,0,0,10000,250,300,1000,1550,1.0,Normal,Normal,Normal,0.0,250.0,0.0,300.0,0.0,1000.0,Normal
P1876,PATANE II,SAURDOT,PADI,250,300,1000,0,0,0,0,0,0,10000,250,300,1000,1550,1.0,Normal,Normal,Normal,0.0,250.0,0.0,300.0,0.0,1000.0,Normal
P1877,PATANE II,SAURDOT,PADI,250,300,1000,0,0,0,0,0,0,10000,250,300,1000,1550,1.0,Normal,Normal,Normal,0.0,250.0,0.0,300.0,0.0,1000.0,Normal
P1878,PATANE II,SAURDOT,BAWANG MERAH,0,131,0,0,131,0,0,0,0,5000,0,262,0,262,0.5,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
P1879,PATANE II,SAURDOT,BAWANG MERAH,0,131,0,0,131,0,0,0,0,5000,0,262,0,262,0.5,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
P1880,PATANE II,SAURDOT,BAWANG MERAH,0,131,0,0,131,0,0,0,0,5000,0,262,0,262,0.5,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
P1881,PATANE I,SATAHI DESA PATANE I,JAGUNG,0,0,0,250,350,0,125,175,0,15000,375,525,0,900,1.5,Normal,Normal,Normal,0.0,375.0,0.0,525.0,0.0,1500.0,Normal
P1882,PATANE I,SATAHI DESA PATANE I,JAGUNG,0,0,0,250,350,0,125,175,0,15000,375,525,0,900,1.5,Normal,Normal,Normal,0.0,375.0,0.0,525.0,0.0,1500.0,Normal
P1883,PATANE I,SATAHI DESA PATANE I,JAGUNG,0,0,0,250,350,0,125,175,0,15000,375,525,0,900,1.5,Normal,Normal,Normal,0.0,375.0,0.0,525.0,0.0,1500.0,Normal
