ID_Petani,Desa,Kelompok_Tani,Komoditas,Urea_MT1,NPK_MT1,Organik_MT1,Urea_MT2,NPK_MT2,Organik_MT2,Urea_MT3,NPK_MT3,Organik_MT3,Luas_Tanah_m2,Total_Urea,Total_NPK,Total_Organik,Total_Pupuk,Luas_Tanah_ha,Status_Urea,Status_NPK,Status_Organik,Jatah_Urea_Min,Jatah_Urea_Max,Jatah_NPK_Min,Jatah_NPK_Max,Jatah_Organik_Min,Jatah_Organik_Max,Final_Status,Urea_per_ha,NPK_per_ha,Organik_per_ha,Total_per_ha,Total_MT1,Total_MT2,Total_MT3,Urea_Label,Urea_Median,Urea_Lower_Bound,Urea_Upper_Bound,NPK_Label,NPK_Median,NPK_Lower_Bound,NPK_Upper_Bound,Organik_Label,Organik_Median,Organik_Lower_Bound,Organik_Upper_Bound,Overall_Status,Anomaly_Prediction,Anomaly_Label,Anomaly_Score,Anomaly_Severity,Underuse_Statistik_Urea,Underuse_Statistik_NPK,Underuse_Statistik_Organik,Underuse_Statistik
P034,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,190,228,0,190,228,0,0,0,0,15200,380,456,0,836,1.52,Normal,Normal,Normal,0.0,380.0,0.0,456.0,0.0,1520.0,Normal,250.0,300.0,0.0,550.0,418,418,0,Normal,250.0,250.0,250.0,Normal,300.0,300.0,300.0,Normal,,,,Normal,1,Normal,0.10057477536018733,Normal,False,False,False,False
P035,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,60,72,0,60,72,0,0,0,0,4800,120,144,0,264,0.48,Normal,Normal,Normal,0.0,120.0,0.0,144.0,0.0,480.0,Normal,250.0,300.0,0.0,550.0,132,132,0,Normal,250.0,250.0,250.0,Normal,300.0,300.0,300.0,Normal,,,,Normal,1,Normal,0.10057477536018733,Normal,False,False,False,False
P036,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,20,24,0,20,24,0,0,0,0,1600,40,48,0,88,0.16,Normal,Normal,Normal,0.0,40.0,0.0,48.0,0.0,160.0,Normal,250.0,300.0,0.0,550.0,44,44,0,Normal,250.0,250.0,250.0,Normal,300.0,300.0,300.0,Normal,,,,Normal,1,Normal,0.10057477536018733,Normal,False,False,False,False
P037,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,125,150,0,125,150,0,0,0,0,10000,250,300,0,550,1.0,Normal,Normal,Normal,0.0,250.0,0.0,300.0,0.0,1000.0,Normal,250.0,300.0,0.0,550.0,275,275,0,Normal,250.0,250.0,250.0,Normal,300.0,300.0,300.0,Normal,,,,Normal,1,Normal,0.10057477536018733,Normal,False,False,False,False
P038,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,50,60,0,50,60,0,0,0,0,4000,100,120,0,220,0.4,Normal,Normal,Normal,0.0,100.0,0.0,120.0,0.0,400.0,Normal,250.0,300.0,0.0,550.0,110,110,0,Normal,250.0,250.0,250.0,Normal,300.0,300.0,300.0,Normal,,,,Normal,1,Normal,0.10057477536018733,Normal,False,False,False,False
P039,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,30,36,0,30,36,0,0,0,0,2400,60,72,0,132,0.24,Normal,Normal,Normal,0.0,60.0,0.0,72.0,0.0,240.0,Normal,250.0,300.0,0.0,550.0,66,66,0,Normal,250.0,250.0,250.0,Normal,300.0,300.0,300.0,Normal,,,,Normal,1,Normal,0.10057477536018733,Normal,False,False,False,False
P040,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,40,48,0,40,48,0,0,0,0,3200,80,96,0,176,0.32,Normal,Normal,Normal,0.0,80.0,0.0,96.0,0.0,320.0,Normal,250.0,300.0,0.0,550.0,88,88,0,Normal,250.0,250.0,250.0,Normal,300.0,300.0,300.0,Normal,,,,Normal,1,Normal,0.10057477536018733,Normal,False,False,False,False
P041,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,40,48,0,40,48,0,0,0,0,3200,80,96,0,176,0.32,Normal,Normal,Normal,0.0,80.0,0.0,96.0,0.0,320.0,Normal,250.0,300.0,0.0,550.0,88,88,0,Normal,250.0,250.0,250.0,Normal,300.0,300.0,300.0,Normal,,,,Normal,1,Normal,0.10057477536018733,Normal,False,False,False,False
P042,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,70,84,0,70,84,0,0,0,0,5600,140,168,0,308,0.56,Normal,Normal,Normal,0.0,140.0,0.0,168.00000000000003,0.0,560.0,Normal,249.99999999999997,299.99999999999994,0.0,549.9999999999999,154,154,0,Underuse,250.0,250.0,250.0,Underuse,300.0,300.0,300.0,Normal,,,,Underuse,1,Normal,0.10057477536018733,Normal,False,True,False,True
P043,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,50,60,0,50,60,0,0,0,0,4000,100,120,0,220,0.4,Normal,Normal,Normal,0.0,100.0,0.0,120.0,0.0,400.0,Normal,250.0,300.0,0.0,550.0,110,110,0,Normal,250.0,250.0,250.0,Normal,300.0,300.0,300.0,Normal,,,,Normal,1,Normal,0.10057477536018733,Normal,False,False,False,False
P044,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,160,224,0,160,224,0,160,224,0,19200,480,672,0,1152,1.92,Normal,Normal,Normal,0.0,480.0,0.0,672.0,0.0,1920.0,Normal,250.0,350.0,0.0,600.0,384,384,384,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal,1,Normal,0.0,Normal,False,False,False,False
P045,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,100,140,0,100,140,0,100,140,0,12000,300,420,0,720,1.2,Normal,Normal,Normal,0.0,300.0,0.0,420.0,0.0,1200.0,Normal,250.0,350.0,0.0,600.0,240,240,240,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal,1,Normal,0.0,Normal,False,False,False,False
P046,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,50,70,0,50,70,0,50,70,0,6000,150,210,0,360,0.6,Normal,Normal,Normal,0.0,150.0,0.0,210.0,0.0,600.0,Normal,250.0,350.0,0.0,600.0,120,120,120,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal,1,Normal,0.0,Normal,False,False,False,False
P047,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,100,140,0,100,140,0,100,140,0,12000,300,420,0,720,1.2,Normal,Normal,Normal,0.0,300.0,0.0,420.0,0.0,1200.0,Normal,250.0,350.0,0.0,600.0,240,240,240,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal,1,Normal,0.0,Normal,False,False,False,False
P048,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,50,70,0,50,70,0,50,70,0,6000,150,210,0,360,0.6,Normal,Normal,Normal,0.0,150.0,0.0,210.0,0.0,600.0,Normal,250.0,350.0,0.0,600.0,120,120,120,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal,1,Normal,0.0,Normal,False,False,False,False
P049,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,40,56,0,40,56,0,40,56,0,4800,120,168,0,288,0.48,Normal,Normal,Normal,0.0,120.0,0.0,168.0,0.0,480.0,Normal,250.0,350.0,0.0,600.0,96,96,96,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal,1,Normal,0.0,Normal,False,False,False,False
P050,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,80,112,0,80,112,0,80,112,0,9600,240,336,0,576,0.96,Normal,Normal,Normal,0.0,240.0,0.0,336.0,0.0,960.0,Normal,250.0,350.0,0.0,600.0,192,192,192,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal,1,Normal,0.0,Normal,False,False,False,False
P051,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,150,210,0,150,210,0,150,210,0,18000,450,630,0,1080,1.8,Normal,Normal,Normal,0.0,450.0,0.0,630.0,0.0,1800.0,Normal,250.0,350.0,0.0,600.0,360,360,360,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal,1,Normal,0.0,Normal,False,False,False,False
P052,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,50,70,0,50,70,0,50,70,0,6000,150,210,0,360,0.6,Normal,Normal,Normal,0.0,150.0,0.0,210.0,0.0,600.0,Normal,250.0,350.0,0.0,600.0,120,120,120,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal,1,Normal,0.0,Normal,False,False,False,False
P053,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,80,112,0,80,112,0,80,112,0,9600,240,336,0,576,0.96,Normal,Normal,Normal,0.0,240.0,0.0,336.0,0.0,960.0,Normal,250.0,350.0,0.0,600.0,192,192,192,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal,1,Normal,0.0,Normal,False,False,False,False
P054,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,165,231,0,165,231,0,165,231,0,19800,495,693,0,1188,1.98,Normal,Normal,Normal,0.0,495.0,0.0,693.0,0.0,1980.0,Normal,250.0,350.0,0.0,600.0,396,396,396,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal,1,Normal,0.0,Normal,False,False,False,False
P055,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,20,28,0,20,28,0,20,28,0,2400,60,84,0,144,0.24,Normal,Normal,Normal,0.0,60.0,0.0,84.0,0.0,240.0,Normal,250.0,350.0,0.0,600.0,48,48,48,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal,1,Normal,0.0,Normal,False,False,False,False
P056,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,60,84,0,60,84,0,60,84,0,7200,180,252,0,432,0.72,Normal,Normal,Normal,0.0,180.0,0.0,252.0,0.0,720.0,Normal,250.0,350.0,0.0,600.0,144,144,144,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal,1,Normal,0.0,Normal,False,False,False,False
P057,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,70,98,0,70,98,0,70,98,0,8400,210,294,0,504,0.84,Normal,Normal,Normal,0.0,210.0,0.0,294.0,0.0,840.0,Normal,250.0,350.0,0.0,600.0,168,168,168,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal,1,Normal,0.0,Normal,False,False,False,False
P058,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,160,224,0,160,224,0,160,224,0,19200,480,672,0,1152,1.92,Normal,Normal,Normal,0.0,480.0,0.0,672.0,0.0,1920.0,Normal,250.0,350.0,0.0,600.0,384,384,384,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal,1,Normal,0.0,Normal,False,False,False,False
