ID_Petani,Desa,Kelompok_Tani,Komoditas,Luas_Tanah_ha,Final_Status,Prioritas,Rekomendasi,Action_Plan
P061,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,0.72,Normal,Rendah,🎯 Cluster 2,Tidak ada tindakan diperlukan
P062,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,0.72,Normal,Rendah,🎯 Cluster 2,Tidak ada tindakan diperlukan
P063,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,0.48,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P064,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,0.36,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P065,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,0.6,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P066,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,1.98,Normal,Rendah,🎯 Cluster 6,Tidak ada tindakan diperlukan
P067,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,0.72,Normal,Rendah,🎯 Cluster 2,Tidak ada tindakan diperlukan
P068,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,0.6,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P069,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,0.96,Normal,Rendah,🎯 Cluster 2,Tidak ada tindakan diperlukan
P070,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,0.6,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P071,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,1.8,Normal,Rendah,🎯 Cluster 6,Tidak ada tindakan diperlukan
P072,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,0.6,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P073,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,0.6,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P074,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,0.6,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P075,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,0.96,Normal,Rendah,🎯 Cluster 2,Tidak ada tindakan diperlukan
P076,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,0.36,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P077,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,0.6,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P078,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,JAGUNG,0.4,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P079,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,JAGUNG,0.16,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P080,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,JAGUNG,0.4,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P081,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,JAGUNG,0.24,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P082,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,JAGUNG,0.12,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P083,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,JAGUNG,0.24,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P084,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,JAGUNG,0.8,Normal,Rendah,🎯 Cluster 2,Tidak ada tindakan diperlukan
P085,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,JAGUNG,0.16,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P086,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,JAGUNG,0.24,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P087,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,JAGUNG,0.8,Normal,Rendah,🎯 Cluster 2,Tidak ada tindakan diperlukan
P088,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,JAGUNG,0.12,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P089,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,JAGUNG,0.8,Normal,Rendah,🎯 Cluster 2,Tidak ada tindakan diperlukan
P090,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,JAGUNG,0.4,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P091,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,JAGUNG,0.2,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P092,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,JAGUNG,0.12,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P093,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,JAGUNG,1.0,Normal,Rendah,🎯 Cluster 2,Tidak ada tindakan diperlukan
P094,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,JAGUNG,0.2,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P095,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,JAGUNG,0.2,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P096,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,JAGUNG,0.12,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P097,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,JAGUNG,0.16,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P098,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,JAGUNG,0.2,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P099,SIBARANI NASAMPULU/NAMUNGKUP,MARSIURUPAN,JAGUNG,0.2,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
